iter	RMSE
0	2656959.347
1	2598407.618
2	2548773.702
3	2507657.974
4	2458304.386
5	2430812.896
6	2405506.504
7	2383707.504
8	2364154.466
9	2350713.601
10	2338040.146
11	2327716.846
12	2314052.457
13	2304799.371
14	2293504.165
15	2286895.25
16	2278361.475
17	2273282.249
18	2268069.254
19	2262601.754
20	2259286.663
21	2255800.89
22	2250193.535
23	2246232.789
24	2242839.582
25	2240028.639
26	2236423.432
27	2206934.13
28	2204542.575
29	2202972.336
30	2201704.125
31	2200583.086
32	2117527.996
33	2115436.067
34	2111990.922
35	2109204.598
36	2106691.253
37	2105515.144
38	2103388.337
39	2054251.113
40	2051338.09
41	2050464.029
42	2046148.862
43	2043813.754
44	2041926.929
45	2039519.003
46	2037385.17
47	2035734.111
48	2034466.551
49	1936928.753
50	1935452.212
51	1934417.935
52	1899393.547
53	1898830.564
54	1898375.887
55	1896501.421
56	1886903.119
57	1801231.13
58	1796754.254
59	1719645.428
60	1718066.973
61	1716964.029
62	1713909.85
63	1712965.407
64	1642518.421
65	1641674.464
66	1640262.258
67	1638596.832
68	1635030.468
69	1626009.77
70	1623367.823
71	1621400.203
72	1557134.836
73	1556292.717
74	1555478.024
75	1554424.143
76	1549848.433
77	1547861.734
78	1547329.602
79	1489157.68
80	1488372.518
81	1486907.88
82	1486315.929
83	1484964.68
84	1484349.952
85	1481672.59
86	1481220.684
87	1479973.67
88	1478699.132
89	1478637.44
90	1473844.813
91	1422012.253
92	1420497.48
93	1418175.808
94	1415545.881
95	1413824.578
96	1413411.028
97	1411781.418
98	1376115.371
99	1332053.983
100	1329948.163
101	1328932.006
102	1327634.52
103	1327018.364
104	1325652.648
105	1285876.06
106	1284856.108
107	1282091.57
108	1281249.591
109	1280079.431
110	1279649.101
111	1272858.369
112	1271796.305
113	1271029.58
114	1269704.101
115	1269296.181
116	1268771.131
117	1233435.704
118	1232689.885
119	1201711.436
120	1200964.734
121	1199626.394
122	1197853.652
123	1169896.381
124	1168328.893
125	1167769.972
126	1166402.44
127	1165642.759
128	1155567.649
129	1154218.122
130	1151856.126
131	1150720.982
132	1127257.515
133	1126121.124
134	1125284.549
135	1124830.483
136	1123788.203
137	1122932.262
138	1122366.44
139	1101803.694
140	1083633.501
141	1072957.524
142	1072360.138
143	1071664.412
144	1070847.346
145	1070281.945
146	1068846.533
147	1068193.756
148	1067311.697
149	1066772.275
150	1066164.328
151	1050330.494
152	1049804.342
153	1049288.298
154	1049072.885
155	1048693.109
156	1047898.57
157	1046357.046
158	1046000.061
159	1044639.124
160	1044321.293
161	1044131.239
162	1043173.214
163	1041852.792
164	1041637.113
165	1041106.564
166	1040530.504
167	1039850.403
168	1039510.732
169	1038530.657
170	1038303.513
171	1037191.47
172	1036845.728
173	1036138.861
174	1035800.335
175	1034900.224
176	1034362.358
177	1032694.915
178	1032059.324
179	1018408.854
180	1017933.4
181	1017510.977
182	1017225.853
183	1016937.045
184	1016639.004
185	1015316.937
186	1013995.832
187	1013515.489
188	1013131.255
189	1011993.877
190	1011571.596
191	1011200.166
192	1008764.878
193	1008477.409
194	1008244.432
195	1007784.595
