iter	Passed	Remaining
0	526	526270
1	632	315719
2	858	285425
3	996	248152
4	1117	222477
5	1311	217336
6	1475	209264
7	1624	201384
8	1755	193313
9	1859	184100
10	1960	176283
11	2067	170211
12	2226	169080
13	2356	165964
14	2481	162929
15	2578	158584
16	2711	156802
17	2871	156650
18	2983	154062
19	3125	153148
20	3236	150871
21	3339	148444
22	3488	148205
23	3592	146097
24	3713	144829
25	3820	143138
26	3994	143953
27	4100	142334
28	4198	140579
29	4306	139240
30	4434	138615
31	4549	137625
32	4684	137272
33	4773	135617
34	4881	134585
35	5017	134358
36	5111	133036
37	5207	131839
38	5323	131187
39	5420	130081
40	5550	129816
41	5670	129341
42	5775	128542
43	5881	127783
44	5998	127296
45	6142	127386
46	6288	127501
47	6383	126598
48	6475	125680
49	6579	125004
50	6676	124237
51	6798	123946
52	6941	124026
53	7047	123461
54	7198	123676
55	7309	123218
56	7402	122473
57	7563	122846
58	7691	122680
59	7828	122649
60	7935	122151
61	8036	121583
62	8136	121014
63	8262	120835
64	8410	120981
65	8515	120505
66	8667	120696
67	8803	120662
68	8925	120424
69	9042	120138
70	9168	119968
71	9295	119805
72	9415	119557
73	9510	119004
74	9642	118924
75	9780	118915
76	9897	118641
77	10031	118576
78	10132	118125
79	10240	117761
80	10388	117864
81	10528	117873
82	10616	117287
83	10715	116848
84	10810	116376
85	10941	116287
86	11075	116229
87	11183	115901
88	11273	115392
89	11367	114940
90	11497	114848
91	11609	114579
92	11726	114368
93	11833	114058
94	11931	113658
95	12056	113531
96	12156	113170
97	12260	112847
98	12369	112577
99	12507	112563
100	12634	112462
101	12752	112268
102	12864	112034
103	12975	111784
104	13084	111527
105	13234	111615
106	13395	111799
107	13511	111591
108	13613	111278
109	13738	111156
110	13863	111029
111	13964	110720
112	14149	111067
113	14252	110765
114	14357	110492
115	14475	110315
116	14590	110115
117	14702	109898
118	14790	109501
119	14911	109353
120	15065	109444
121	15168	109161
122	15268	108869
123	15393	108747
124	15523	108666
125	15623	108372
126	15713	108012
127	15812	107722
128	15985	107933
129	16117	107860
130	16243	107753
131	16351	107523
132	16512	107641
133	16642	107555
134	16771	107463
135	16919	107490
136	17112	107795
137	17250	107752
138	17347	107452
139	17467	107298
140	17609	107278
141	17778	107419
142	17912	107347
143	18014	107087
144	18122	106860
145	18275	106897
146	18449	107054
147	18573	106923
148	18789	107314
149	19042	107907
150	19209	108005
151	19410	108289
152	19679	108943
153	19920	109432
154	20097	109565
155	20532	111086
156	20779	111574
157	20982	111817
158	21350	112931
159	21771	114299
160	22058	114950
161	22368	115707
162	22777	116962
163	22933	116906
164	23130	117054
165	23346	117293
166	23539	117416
167	23681	117278
168	23823	117144
169	23972	117043
170	24087	116775
171	24244	116710
172	24412	116699
173	24563	116605
174	24689	116395
175	24811	116161
176	24969	116099
177	25111	115963
178	25216	115656
179	25372	115585
180	25530	115519
181	25650	115287
182	25776	115078
183	25912	114914
184	26034	114693
185	26145	114419
186	26290	114300
187	26493	114429
188	26784	114933
189	27047	115309
190	27157	115026
191	27325	114996
192	27494	114963
193	27623	114764
194	27728	114467
195	27837	114190
196	27941	113892
197	28125	113921
198	28246	113695
199	28399	113596
200	28512	113341
201	28669	113259
202	28816	113135
203	28968	113034
204	29092	112823
205	29205	112569
206	29357	112467
207	29472	112223
208	29614	112081
209	29766	111979
210	29856	111644
211	29951	111330
212	30065	111087
213	30190	110884
214	30288	110587
215	30405	110359
216	30539	110195
217	30656	109968
218	30767	109722
219	30862	109420
220	30954	109110
221	31066	108872
222	31187	108667
223	31301	108436
224	31425	108243
225	31527	107975
226	31645	107762
227	31774	107588
228	31884	107348
229	31984	107078
230	32084	106808
231	32202	106601
232	32370	106559
233	32467	106282
234	32568	106020
235	32660	105730
236	32762	105474
237	32879	105268
238	33002	105083
239	33093	104797
240	33201	104564
241	33340	104429
242	33430	104144
243	33531	103892
244	33662	103735
245	33752	103453
246	33884	103299
247	33981	103042
248	34095	102834
249	34233	102700
250	34366	102552
251	34508	102429
252	34622	102225
253	34733	102013
254	34843	101797
